Date,Open,High,Low,Close,Adj Close,Volume
2001-02-26,570.625000,600.312500,570.625000,597.708313,415.582031,13755
2001-02-27,596.666687,603.333313,591.666687,598.645813,416.377808,5730
2001-02-28,591.666687,595.000000,579.687500,583.645813,405.967590,4380
2001-03-01,588.958313,594.687500,583.020813,583.020813,405.532867,1995
2001-03-02,591.666687,608.020813,591.666687,608.020813,422.922058,6705
2001-03-05,606.979187,623.333313,606.979187,619.062500,430.602112,10560
2001-03-06,615.208313,630.000000,614.270813,628.958313,437.485931,1950
2001-03-07,635.312500,650.000000,631.562500,649.062500,451.469177,25410
2001-03-08,652.500000,656.354187,639.583313,650.625000,452.556335,22590
2001-03-09,658.958313,658.958313,638.020813,640.833313,445.745422,41505
2001-03-12,633.333313,638.437500,622.083313,623.333313,433.572906,14490
2001-03-13,614.687500,618.645813,598.645813,605.312500,421.038177,95775
2001-03-14,598.958313,615.833313,588.229187,595.520813,414.227264,21165
2001-03-15,596.666687,596.666687,573.333313,574.375000,399.518890,25545
2001-03-16,576.666687,586.666687,566.041687,566.041687,393.722595,96855
2001-03-19,571.354187,590.833313,571.354187,584.687500,406.691620,46560
2001-03-20,593.333313,606.458313,590.520813,590.520813,410.749603,35370
2001-03-21,590.000000,590.000000,574.375000,576.666687,401.113098,5730
2001-03-22,563.333313,563.333313,541.979187,562.291687,391.114075,25320
2001-03-23,558.333313,583.333313,555.312500,571.666687,397.635071,24525
2001-03-26,590.000000,590.000000,575.312500,584.479187,406.547119,16575
2001-03-27,580.625000,581.354187,566.666687,572.291687,398.069855,22065
2001-03-28,563.854187,567.291687,550.625000,552.187500,384.099243,17100
2001-03-29,541.354187,541.354187,525.416687,528.645813,367.723969,36195
2001-03-30,540.312500,544.687500,536.041687,537.812500,374.100037,16545
2001-04-02,531.979187,531.979187,507.812500,511.458344,355.768158,40830
2001-04-03,514.687500,518.333313,488.645844,490.000000,340.841949,31905
2001-04-04,499.375000,517.291687,499.375000,510.000000,354.753662,30885
2001-04-05,510.625000,536.666687,509.166656,531.770813,369.897705,32220
2001-04-06,522.500000,538.541687,513.645813,531.354187,369.607727,3660
2001-04-09,543.666687,551.666687,538.666687,545.733337,379.609985,15390
2001-04-10,550.266663,561.799988,541.933350,558.666687,388.606415,27390
2001-04-11,561.666687,565.333313,549.000000,549.000000,381.882385,36630
2001-04-12,555.000000,562.799988,553.133362,556.266663,386.936554,8400
2001-04-16,558.000000,567.333313,558.000000,564.000000,392.316193,12885
2001-04-17,564.666687,573.333313,558.933350,572.666687,398.344696,11085
2001-04-18,568.333313,577.400024,555.333313,557.333313,387.678986,31965
2001-04-19,557.866638,557.866638,538.666687,540.200012,375.760956,26115
2001-04-20,545.000000,557.000000,545.000000,553.333313,384.896332,19440
2001-04-23,566.666687,575.200012,564.000000,571.133362,397.278076,17250
2001-04-24,580.000000,581.866638,565.066650,570.599976,396.907074,23325
2001-04-25,569.000000,582.400024,562.666687,582.400024,405.114868,9060
2001-04-26,604.133362,616.733337,603.666687,612.333313,425.936523,36585
2001-04-27,612.000000,613.000000,606.066650,606.466675,421.920380,22125
2001-04-30,603.333313,625.333313,603.333313,618.466675,430.268524,16770
2001-05-01,614.666687,614.666687,602.866638,606.666687,422.059082,46770
2001-05-02,577.000000,581.333313,565.866638,568.333313,395.390686,39300
2001-05-03,575.666687,575.666687,557.666687,567.400024,394.852570,50715
2001-05-04,573.333313,582.666687,567.400024,579.666687,403.388916,30630
2001-05-07,589.333313,590.000000,565.666687,569.799988,396.522430,80595
2001-05-08,565.333313,570.733337,558.666687,568.599976,395.687378,16185
2001-05-09,576.666687,581.799988,574.666687,581.466675,404.641113,29145
2001-05-10,577.000000,583.133362,573.333313,576.866638,401.440002,48615
2001-05-11,573.333313,573.333313,567.133362,569.133362,396.058624,9180
2001-05-14,575.000000,586.599976,575.000000,585.333313,407.332184,8940
2001-05-15,590.000000,601.866638,590.000000,601.066650,418.280884,12255
2001-05-16,599.400024,609.200012,598.333313,606.066650,421.760773,34530
2001-05-17,608.333313,626.666687,601.666687,626.200012,435.771149,41535
2001-05-18,626.666687,640.266663,625.333313,631.333313,439.343414,81945
2001-05-21,634.000000,637.200012,626.400024,637.000000,443.286987,94125
2001-05-22,636.400024,636.400024,624.666687,627.333313,436.559692,55755
2001-05-23,620.000000,620.000000,603.466675,603.799988,420.183228,102360
2001-05-24,603.799988,603.799988,587.933350,590.933350,411.228851,84495
2001-05-25,597.333313,608.400024,596.400024,600.000000,417.538788,19800
2001-05-29,606.666687,607.200012,592.000000,594.666687,413.827393,34200
2001-05-30,586.666687,586.666687,573.333313,581.733337,404.849762,50895
2001-05-31,582.666687,593.000000,573.333313,590.866638,411.205688,10845
2001-06-01,594.000000,594.000000,582.200012,586.666687,408.296753,3195
2001-06-04,604.333313,608.666687,598.599976,599.866638,417.715912,103875
2001-06-05,589.866638,604.933350,589.866638,600.333313,418.040863,35160
2001-06-06,581.000000,582.266663,570.000000,570.333313,397.150848,22890
2001-06-07,565.000000,570.133362,555.000000,556.400024,387.484375,16845
2001-06-08,556.666687,561.333313,550.000000,559.799988,389.851929,55590
2001-06-11,563.000000,566.599976,551.066650,555.000000,386.509186,21165
2001-06-12,555.000000,565.733337,554.000000,563.333313,392.313019,27390
2001-06-13,576.000000,583.866638,560.466675,562.466675,391.709106,26760
2001-06-14,552.000000,560.066650,550.000000,551.066650,383.770172,44985
2001-06-15,554.666687,561.133362,551.533325,552.000000,384.420288,43755
2001-06-18,543.333313,555.599976,542.466675,543.866638,378.755798,42615
2001-06-19,545.333313,545.333313,532.466675,538.200012,374.809570,27630
2001-06-20,528.000000,546.666687,528.000000,528.000000,367.706055,17190
2001-06-21,528.000000,530.333313,497.399994,506.533325,352.756348,167805
2001-06-22,506.000000,514.333313,491.733337,505.000000,351.688507,137505
2001-06-25,505.666656,510.533325,497.333344,504.333344,351.224548,49545
2001-06-26,508.000000,519.266663,504.000000,518.000000,360.742310,53130
2001-06-27,508.000000,510.000000,491.066681,492.000000,342.648621,210285
2001-06-28,476.666656,480.666656,462.799988,468.000000,325.933960,150120
2001-06-29,467.666656,483.200012,461.533325,468.333344,326.166199,129990
2001-07-02,463.333344,472.733337,450.066681,451.000000,314.094543,98385
2001-07-03,458.000000,460.733337,454.000000,456.000000,317.576721,68520
2001-07-05,457.000000,466.600006,456.466675,459.000000,319.665802,117795
2001-07-06,460.600006,461.133331,448.066681,460.000000,320.362366,40410
2001-07-09,455.333344,455.799988,439.066681,444.000000,309.219421,151005
2001-07-10,446.666656,451.000000,437.266663,440.000000,306.433777,173370
2001-07-11,426.333344,434.666656,414.399994,434.666656,302.719360,223020
2001-07-12,428.666656,436.666656,408.066681,410.666656,286.004700,228330
2001-07-13,407.000000,426.000000,403.333344,418.333344,291.344269,106215
2001-07-16,422.399994,425.000000,384.666656,388.399994,270.497314,181635
2001-07-17,392.000000,398.600006,386.200012,397.066681,276.533356,105900
2001-07-18,390.133331,400.666656,377.666656,397.333344,276.718842,306900
2001-07-19,396.333344,406.533325,394.000000,404.666656,281.825928,125205
2001-07-20,415.333344,427.333344,411.200012,427.333344,297.612122,139260
2001-07-23,433.266663,435.733337,423.466675,431.266663,300.351563,186600
2001-07-24,430.333344,430.333344,415.666656,416.733337,290.229797,126390
2001-07-25,423.333344,437.133331,413.666656,437.133331,304.437134,142155
2001-07-26,442.000000,443.533325,428.466675,440.000000,306.433777,123330
2001-07-27,434.666656,446.666656,428.333344,444.666656,309.683472,139440
2001-07-30,441.466675,451.666656,440.266663,445.333344,310.148071,51105
2001-07-31,440.333344,451.066681,426.000000,427.333344,297.612122,195105
2001-08-01,427.333344,433.333344,413.666656,415.000000,289.022522,250905
2001-08-02,416.733337,423.333344,412.399994,420.000000,292.655609,43905
2001-08-03,420.000000,422.133331,412.666656,414.333344,288.706818,21885
2001-08-06,413.000000,419.333344,410.000000,412.666656,287.545502,30405
2001-08-07,416.000000,416.666656,403.000000,403.333344,281.041870,50910
2001-08-08,405.933319,408.933319,380.533325,383.600006,267.291962,175155
2001-08-09,378.000000,389.266663,378.000000,385.200012,268.406921,167595
2001-08-10,390.933319,395.000000,387.066681,390.200012,271.890808,84585
2001-08-13,388.066681,391.733337,384.000000,386.399994,269.243103,26250
2001-08-14,387.066681,391.600006,386.133331,391.333344,272.680328,57930
2001-08-15,396.333344,420.000000,394.000000,419.933319,292.608643,284760
2001-08-16,419.799988,421.866669,404.666656,411.933319,287.034698,124755
2001-08-17,411.333344,412.933319,401.733337,408.000000,284.293854,35610
2001-08-20,402.733337,406.666656,397.200012,398.600006,277.743866,30135
2001-08-21,396.666656,406.000000,396.666656,402.000000,280.112946,81510
2001-08-22,412.733337,418.399994,397.333344,399.000000,278.022583,204690
2001-08-23,399.399994,400.000000,390.066681,392.200012,273.284454,97035
2001-08-24,391.600006,394.000000,388.533325,391.200012,272.587433,19815
2001-08-27,393.000000,397.333344,392.000000,392.666656,273.609619,60135
2001-08-28,389.666656,389.666656,383.466675,384.333344,267.802795,43635
2001-08-29,386.266663,388.733337,377.666656,381.333344,265.735687,66705
2001-08-30,382.000000,383.200012,363.000000,364.533325,254.041595,78525
2001-08-31,362.933319,371.666656,362.933319,371.666656,259.112305,62835
2001-09-04,373.333344,380.066681,372.666656,375.000000,261.567596,24270
2001-09-05,373.333344,376.666656,368.933319,371.333344,259.009796,217305
2001-09-06,373.000000,381.600006,370.266663,378.799988,264.218170,156960
2001-09-07,380.000000,380.000000,371.466675,374.000000,260.869873,12705
2001-09-10,377.000000,379.333344,370.733337,377.333344,263.194916,13830
2001-09-17,391.666656,391.666656,358.333344,358.666656,250.174973,43800
2001-09-18,350.133331,354.666656,334.733337,337.000000,235.062210,65790
2001-09-19,326.000000,330.000000,298.066681,313.466675,218.647232,124230
2001-09-20,304.066681,315.399994,300.466675,305.466675,213.067047,106725
2001-09-21,300.000000,323.333344,299.333344,322.000000,224.599365,88380
2001-09-24,316.666656,316.666656,298.866669,303.799988,211.904556,87900
2001-09-25,304.133331,304.133331,290.133331,293.333344,204.604019,76500
2001-09-26,293.000000,294.000000,282.666656,285.466675,199.130234,119235
2001-09-27,288.666656,294.666656,278.733337,294.666656,205.548126,37545
2001-09-28,301.333344,314.600006,301.333344,313.866669,218.941132,135375
2001-10-01,310.466675,310.533325,298.666656,305.733337,213.267563,27495
2001-10-02,311.666656,311.666656,301.799988,307.333344,214.383575,64785
2001-10-03,297.399994,317.399994,294.799988,313.666656,218.801575,174285
2001-10-04,321.933319,340.733337,318.933319,332.333344,231.822617,198165
2001-10-05,334.000000,338.466675,322.933319,333.266663,232.473648,76485
2001-10-08,329.333344,342.333344,322.200012,332.466675,231.915726,104340
2001-10-09,330.333344,339.200012,328.266663,338.200012,235.914841,28605
2001-10-10,339.533325,355.399994,339.000000,355.266663,247.820343,141240
2001-10-11,361.333344,363.333344,345.733337,353.866669,246.843536,117360
2001-10-12,351.399994,359.533325,346.666656,355.333344,247.866440,62745
2001-10-15,353.666656,357.000000,338.333344,341.333344,238.100830,39195
2001-10-16,342.666656,359.266663,342.666656,355.933319,248.285202,58230
2001-10-17,358.000000,365.000000,353.466675,354.666656,247.401596,94035
2001-10-18,352.333344,356.333344,339.133331,342.266663,238.751923,60705
2001-10-19,343.133331,354.000000,332.399994,352.666656,246.006470,118755
2001-10-22,356.399994,365.000000,347.666656,363.600006,253.633026,65400
2001-10-23,362.666656,382.066681,358.133331,369.666656,257.865204,148635
2001-10-24,366.666656,369.866669,355.200012,366.000000,255.307007,131820
2001-10-25,361.866669,393.333344,361.866669,393.333344,274.374023,111000
2001-10-26,393.333344,415.799988,393.333344,412.000000,287.395203,202905
2001-10-29,412.533325,423.333344,405.066681,410.666656,286.464966,376215
2001-10-30,401.333344,401.333344,386.866669,388.000000,270.715179,228630
2001-10-31,387.666656,393.333344,376.000000,382.533325,266.901123,256620
2001-11-01,375.066681,388.533325,370.200012,384.066681,268.083038,100455
2001-11-02,376.000000,380.799988,368.933319,373.200012,260.497803,41625
2001-11-05,370.733337,372.799988,360.799988,363.133331,253.471130,104955
2001-11-06,355.666656,362.600006,347.600006,361.866669,252.586975,76455
2001-11-07,363.333344,378.600006,356.533325,375.666656,262.219696,192120
2001-11-08,382.000000,393.466675,378.666656,381.000000,265.942444,220890
2001-11-09,392.666656,399.733337,391.000000,394.333344,275.249237,180180
2001-11-12,384.000000,397.533325,379.200012,397.333344,277.343140,371070
2001-11-13,395.333344,410.000000,390.266663,402.000000,280.600494,332040
2001-11-14,386.000000,386.000000,368.333344,368.333344,257.100952,436020
2001-11-15,339.000000,342.000000,322.333344,328.333344,229.180344,409440
2001-11-16,331.666656,346.666656,325.466675,346.666656,241.977509,311175
2001-11-19,339.000000,348.399994,329.666656,341.799988,238.580460,315030
2001-11-20,356.666656,364.666656,356.666656,361.866669,252.586975,188700
2001-11-21,366.133331,366.600006,352.000000,358.866669,250.492691,278655
2001-11-23,350.666656,366.200012,348.000000,364.000000,254.076157,58530
2001-11-26,355.333344,359.666656,352.666656,356.933319,249.143661,62055
2001-11-27,358.333344,369.133331,350.666656,363.200012,253.650482,188550
2001-11-28,356.666656,366.799988,354.799988,358.933319,250.693573,265200
2001-11-29,362.000000,369.666656,355.133331,368.933319,257.678162,246420
2001-11-30,368.333344,372.933319,363.333344,369.399994,258.018066,134775
2001-12-03,366.000000,381.066681,362.333344,374.666656,261.696747,155910
2001-12-04,372.000000,385.000000,366.333344,385.000000,268.914368,209925
2001-12-05,391.666656,404.000000,391.666656,399.333344,278.964325,288375
2001-12-06,396.000000,396.666656,382.000000,383.600006,267.973694,167250
2001-12-07,380.000000,380.200012,362.333344,372.066681,259.916687,255975
2001-12-10,373.666656,377.266663,368.133331,370.000000,258.472870,116370
2001-12-11,369.666656,374.133331,365.466675,372.333344,260.102966,36255
2001-12-12,368.133331,372.000000,363.866669,368.333344,257.308746,104190
2001-12-13,361.533325,377.799988,361.533325,371.000000,259.171539,180000
2001-12-14,370.666656,382.266663,368.733337,380.066681,265.505280,122340
2001-12-17,373.666656,381.133331,369.666656,371.666656,259.637238,183420
2001-12-18,370.333344,377.399994,369.666656,375.933319,262.617645,48975
2001-12-19,379.933319,394.200012,377.066681,393.333344,274.772919,237570
2001-12-20,392.466675,399.066681,386.000000,386.000000,269.650146,124740
2001-12-21,387.399994,393.399994,384.666656,392.666656,274.406708,71595
2001-12-24,396.799988,402.733337,394.333344,401.666656,280.696594,50010
2001-12-26,408.000000,418.200012,406.000000,415.399994,290.293579,114090
2001-12-27,410.866669,411.933319,405.666656,408.733337,285.662262,56775
2001-12-28,412.733337,420.933319,408.533325,410.133331,286.640778,80370
2001-12-31,412.133331,414.600006,404.799988,406.666656,284.217834,85245
2002-01-02,400.000000,400.000000,384.799988,388.333344,271.404633,146850
2002-01-03,387.066681,393.000000,378.733337,382.133331,267.071503,101070
2002-01-04,382.866669,395.799988,377.266663,389.600006,272.289978,192465
2002-01-07,393.200012,398.799988,384.666656,392.666656,274.433044,74880
2002-01-08,387.533325,390.266663,382.933319,384.666656,268.842163,164070
2002-01-09,380.666656,385.333344,375.799988,382.733337,267.490997,142860
2002-01-10,378.666656,379.733337,373.466675,374.733337,261.899811,84450
2002-01-11,373.333344,373.333344,359.000000,359.000000,250.903748,159885
2002-01-14,359.000000,359.533325,349.666656,349.933319,244.567184,87390
2002-01-15,350.466675,362.600006,350.466675,358.733337,250.717270,209460
2002-01-16,351.666656,353.333344,346.000000,346.000000,241.818161,175935
2002-01-17,348.666656,351.466675,340.933319,345.466675,241.445328,145005
2002-01-18,350.000000,351.666656,346.333344,346.933319,242.470230,43935
2002-01-22,349.333344,354.066681,341.666656,341.666656,238.789551,116940
2002-01-23,346.933319,360.799988,344.000000,359.333344,251.136673,179235
2002-01-24,363.333344,377.133331,361.333344,376.933319,263.437286,145020
2002-01-25,377.799988,390.333344,377.799988,384.666656,268.842163,153510
2002-01-28,386.600006,386.666656,372.733337,374.333344,261.619995,105495
2002-01-29,372.333344,373.333344,363.866669,368.933319,257.845917,90570
2002-01-30,364.666656,381.266663,360.666656,377.399994,263.830139,154860
2002-01-31,382.666656,394.200012,382.666656,390.799988,273.197540,210615
2002-02-01,390.399994,399.266663,385.066681,389.799988,272.498840,215355
2002-02-04,388.000000,389.333344,376.733337,378.066681,264.296265,105720
2002-02-05,373.533325,377.466675,365.866669,371.333344,259.589172,209565
2002-02-06,371.733337,382.266663,371.733337,377.666656,264.016693,110745
2002-02-07,372.600006,375.000000,364.733337,364.733337,255.119431,103995
2002-02-08,362.266663,374.000000,361.333344,372.666656,260.668457,86235
2002-02-11,372.666656,388.666656,370.000000,387.000000,270.694061,198600
2002-02-12,382.466675,390.000000,379.733337,381.666656,266.963440,170235
2002-02-13,381.000000,388.866669,374.799988,384.666656,269.062103,218775
2002-02-14,387.266663,394.333344,385.133331,388.666656,271.859924,106605
2002-02-15,395.000000,396.600006,387.733337,391.000000,273.491974,77445
2002-02-19,386.466675,391.266663,378.666656,388.200012,271.630859,185730
2002-02-20,385.066681,389.266663,380.466675,383.866669,268.598816,141210
2002-02-21,390.000000,402.799988,389.200012,397.600006,278.208221,262575
2002-02-22,397.000000,410.000000,395.600006,404.666656,283.166931,117945
2002-02-25,413.333344,422.866669,407.333344,419.466675,293.523560,197550
2002-02-26,418.933319,419.333344,411.000000,417.799988,292.487091,242115
2002-02-27,416.666656,421.933319,407.000000,411.399994,288.029816,269235
2002-02-28,417.600006,421.600006,414.000000,414.000000,289.850189,86370
2002-03-01,419.866669,419.866669,411.399994,418.200012,292.790863,55050
2002-03-04,419.866669,437.066681,419.866669,436.666656,305.719635,195330
2002-03-05,434.000000,437.466675,431.666656,433.933319,303.805817,142410
2002-03-06,429.333344,441.266663,422.533325,441.266663,308.940125,202965
2002-03-07,446.733337,457.133331,442.466675,444.666656,311.320740,170505
2002-03-08,443.333344,443.333344,432.666656,436.000000,305.252899,187440
2002-03-11,443.933319,448.266663,438.866669,442.866669,310.060425,87015
2002-03-12,438.133331,453.333344,435.333344,451.866669,316.361420,117270
2002-03-13,456.666656,460.799988,440.000000,440.399994,308.333344,259035
2002-03-14,435.266663,435.266663,424.733337,433.333344,303.385956,249000
2002-03-15,432.333344,447.866669,432.333344,446.666656,312.720947,228495
2002-03-18,445.399994,459.666656,442.666656,458.666656,321.122406,227310
2002-03-19,460.000000,465.266663,455.666656,465.000000,325.556549,111495
2002-03-20,458.466675,470.000000,455.533325,456.000000,319.255066,305130
2002-03-21,453.466675,463.333344,450.666656,461.466675,323.082703,300705
2002-03-22,450.666656,450.666656,437.333344,437.733337,306.466553,242280
2002-03-25,436.733337,448.133331,436.733337,440.000000,308.053406,203985
2002-03-26,442.466675,442.466675,430.066681,438.733337,307.194366,225630
2002-03-27,449.333344,459.000000,446.333344,458.200012,320.824829,388440
2002-03-28,450.666656,461.733337,450.000000,459.333344,321.618317,138030
2002-04-01,463.666656,468.133331,456.733337,460.333344,322.318634,117870
2002-04-02,462.333344,470.466675,459.066681,464.466675,325.212524,237195
2002-04-03,460.000000,460.000000,449.666656,451.333344,316.016876,252465
2002-04-04,452.399994,455.000000,433.333344,442.600006,309.901978,287655
2002-04-05,443.666656,446.666656,433.666656,438.333344,306.914429,232305
2002-04-08,445.000000,452.133331,440.333344,441.866669,309.388489,179025
2002-04-09,437.466675,438.000000,432.866669,434.000000,303.880127,85410
2002-04-10,433.200012,445.333344,431.666656,441.000000,308.781433,247005
2002-04-11,435.066681,443.533325,435.000000,438.000000,306.680878,195135
2002-04-12,428.666656,429.333344,413.666656,420.000000,294.077820,406485
2002-04-15,433.333344,438.933319,432.866669,436.466675,305.607269,272220
2002-04-16,437.000000,453.333344,437.000000,450.333344,315.316650,364620
2002-04-17,455.000000,465.666656,455.000000,463.000000,324.185608,354465
2002-04-18,464.333344,472.733337,456.133331,468.200012,327.826782,481605
2002-04-19,463.733337,469.666656,458.866669,467.799988,327.546448,288495
2002-04-22,467.000000,472.666656,459.666656,463.733337,324.699249,218100
2002-04-23,462.000000,474.333344,458.866669,472.933319,331.140869,221700
