Date,Open,High,Low,Close,Adj Close,Volume
2004-09-29,49.189999,49.349998,49.189999,49.349998,32.037624,25200
2004-09-30,49.430000,49.430000,49.430000,49.430000,32.089561,100
2004-10-01,49.430000,49.430000,49.430000,49.430000,32.089561,0
2004-10-04,49.430000,49.430000,49.430000,49.430000,32.089561,0
2004-10-05,49.430000,49.430000,49.430000,49.430000,32.089561,0
2004-10-06,51.130001,51.130001,51.130001,51.130001,33.193192,20000
2004-10-07,51.130001,51.130001,51.130001,51.130001,33.193192,0
2004-10-08,51.299999,51.299999,51.299999,51.299999,33.303547,200
2004-10-11,51.049999,51.049999,50.889999,50.889999,33.037380,2000
2004-10-12,50.889999,50.889999,50.889999,50.889999,33.037380,0
2004-10-13,50.889999,50.889999,50.889999,50.889999,33.037380,0
2004-10-14,50.889999,50.889999,50.889999,50.889999,33.037380,0
2004-10-15,50.889999,50.889999,50.889999,50.889999,33.037380,0
2004-10-18,50.889999,50.889999,50.889999,50.889999,33.037380,0
2004-10-19,50.470001,50.470001,50.470001,50.470001,32.764717,100
2004-10-20,50.330002,50.330002,50.180000,50.180000,32.576450,300
2004-10-21,49.950001,50.119999,49.840000,50.119999,32.537506,3300
2004-10-22,49.790001,49.820000,49.700001,49.700001,32.264847,700
2004-10-25,49.160000,49.160000,49.160000,49.160000,31.914288,200
2004-10-26,49.669998,49.669998,49.590000,49.590000,32.193439,200
2004-10-27,50.099998,50.180000,50.099998,50.180000,32.576450,10000
2004-10-28,50.240002,50.480000,50.240002,50.360001,32.693302,1200
2004-10-29,50.680000,50.779999,50.680000,50.709999,32.920525,1100
2004-11-01,50.560001,51.160000,50.560001,51.160000,33.212658,18300
2004-11-02,51.369999,51.669998,51.349998,51.419998,33.381447,41800
2004-11-03,51.700001,51.830002,51.669998,51.669998,33.543758,3400
2004-11-04,52.099998,52.230000,52.099998,52.230000,33.907291,300
2004-11-05,52.570000,52.610001,52.570000,52.610001,34.153992,2900
2004-11-08,52.689999,52.779999,52.689999,52.779999,34.264359,500
2004-11-09,52.580002,52.689999,52.509998,52.689999,34.205917,6500
2004-11-10,52.900002,53.160000,52.860001,52.900002,34.342258,5200
2004-11-11,53.049999,53.380001,53.020000,53.380001,34.653877,10700
2004-11-12,53.279999,53.430000,53.279999,53.430000,34.686325,1200
2004-11-15,53.980000,53.980000,53.410000,53.509998,34.738262,20600
